group,variable,code,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,growth,growth_17,growth_16,growth_15,growth_14,growth_13,growth_12,growth_11,median_age,edu1,edu2,edu3,edu4,pov,kpov,spov,eng,other_lang,lep,no_ins,pri_ins,cvap,cit_18,non_cit,native,fb,income,owner,renter
NATIVE HAWAIIAN PACIFIC ISLANDER ALONE,race,26,507916,506017,543198,525750,557154,554946,595986,608219,0.197479504,0.02052565,0.073953141,-0.003962998,0.059731812,-0.032120884,0.073477769,-0.003738807,31,0.131289763,0.356876354,0.343077717,0.168756166,,,,0.593606159,0.406393841,0.131172714,0.12048844,0.590934388,0.632634077,0.244497611,0.125821763,0.795390763,0.204609237,57372,0.401167051,0.598832949
Native Hawaiian alone,aapi_alone,27,156146,156239,175299,179489,180203,176482,178874,191739,0.227946921,0.071922135,0.01355379,-0.020648935,0.00397796,0.023902019,0.121992588,5.96E-04,35,0.266226095,0.307281412,0.289116403,0.137376089,0.1700466,0.2191603,0.0955056,0.8480359,0.1519641,0.9683328,0.0891769,0.654,0.7699285,0.2155529,0.9854814,0.9746451,0.0253549,75178.09,0.544,0.456
Samoan alone,aapi_alone,28,109637,108849,103079,105235,114288,120019,119605,105076,-0.041600919,-0.121474855,-0.003449454,0.050145247,0.086026512,0.020915996,-0.053009215,-0.007187355,30,0.316083293,0.297146161,0.284521406,0.10224914,0.1865401,0.2255043,0.2244152,0.5197871,0.4802129,0.8971147,0.1251943,0.582,0.6906479,0.2612449,0.9518928,0.8934989,0.1065011,69974.28,0.313,0.687
Tongan alone,aapi_alone,29,41219,48194,49075,40196,34626,46258,43937,45610,0.106528543,0.038077247,-0.050175105,0.335932536,-0.138571002,-0.180927152,0.018280284,0.169218079,28,0.369898166,0.253747873,0.281326815,0.095027147,0.175773,0.2179797,0.129019,0.3735993,0.6264007,0.806645,0.1200135,0.601,0.5115258,0.279633,0.7911588,0.5897762,0.4102238,73917.91,0.444,0.556
Guamanian or Chamorro alone,aapi_alone,30,88310,64192,72738,63655,73811,78522,82398,85771,-0.028750991,0.04093546,0.049361962,0.063825175,0.159547561,-0.124872831,0.133131854,-0.273106103,34,0.283259224,0.268624231,0.302380857,0.145735689,0.1575585,0.2205474,0.1032996,0.7058261,0.2941739,0.9373513,0.11358,0.716,0.7599111,0.2084357,0.9683468,0.9301836,0.0698164,80354.44,0.49,0.51
Marshallese alone,aapi_alone,31,19841,21478,18468,25152,24467,22544,36042,32571,0.641600726,-0.096304312,0.598740241,-0.078595659,-0.027234415,0.361923327,-0.140143403,0.082505922,22,0.539628335,0.303248094,0.132544473,0.024579098,0.3449095,0.3986567,0.1246291,0.1879431,0.8120569,0.566724,0.2191115,0.393,0.1041886,0.3575703,0.4617588,0.4028286,0.5971714,45440.64,0.0937,0.906
Fijian alone,aapi_alone,32,24629,26683,35530,32458,33976,30514,31037,36590,0.485647002,0.178915488,0.017139674,-0.101895456,0.046768131,-0.086462145,0.33155942,0.083397621,37,0.319687924,0.252661171,0.310022426,0.117628478,0.0805987,0.0802579,0.0612953,0.1918115,0.8081885,0.7617081,0.1076503,0.66,0.5597017,0.1797036,0.7394053,0.3289962,0.6710038,80895.12,0.671,0.329
HISPANIC OF ANY RACE,race,33,50740089,51939916,52961017,53986412,55279452,56496122,57398719,58846134,0.159756224,0.025216852,0.015976265,0.022009444,0.023951212,0.019361316,0.019659273,0.023646529,29,0.332969368,0.274243715,0.240801798,0.151985119,,,,0.271679284,0.728320716,0.310209931,0.250710904,0.438944823,0.470913141,0.305605282,0.223481603,0.656434404,0.343565596,46627,0.463640334,0.536359666
Mexican,detailed_hisp,34,32929683,33557922,34038599,34586088,35320579,35797080,36255589,36668018,0.113524779,0.011375598,0.012808559,0.013490747,0.021236602,0.016084358,0.014323801,0.019078198,38,0.292996864,0.224053923,0.25139442,0.231554793,0.1441382,0.2010893,0.0900704,0.8212904,0.1787096,0.0694027,0.1031107,0.675744,0.719155,0.2209419,0.0599031,0.8830098,0.1169902,51162.44,0.49,0.51
Puerto Rican,detailed_hisp,35,4691890,4885294,4970604,5138109,5266738,5372759,5450472,5588664,0.191132784,0.025354134,0.014464263,0.020130297,0.025034307,0.033699124,0.017462613,0.041220915,29,0.423980846,0.222844028,0.234116577,0.119058549,0.2465128,0.3149998,0.2208295,0.396582,0.603418,0.170856,0.1025924,0.5258024,0.6822566,0.3095427,0.0082007,0.9835638,0.0164362,49703.31,0.378,0.622
Cuban,detailed_hisp,36,1873585,1891014,1957557,2013155,2046805,2106501,2212566,2315863,0.236059746,0.046686517,0.05035127,0.029165455,0.016715057,0.028401727,0.035189057,0.009302487,40,0.332029944,0.245194527,0.219623376,0.203152153,0.1805805,0.203116,0.2306565,0.2075345,0.7924655,0.398663,0.1681238,0.5306361,0.5799797,0.1820637,0.2379566,0.4319587,0.5680413,54190.74,0.544,0.456
Dominican,detailed_hisp,37,1508871,1554819,1656960,1757961,1760354,1873097,1914120,2081419,0.379454572,0.087402566,0.021901162,0.064045641,0.001361236,0.060955605,0.065693177,0.030451907,29,0.455566846,0.204922271,0.219828628,0.119682256,0.2564147,0.3305386,0.3213304,0.1180539,0.8819461,0.4219367,0.1429915,0.429151,0.4869313,0.2518741,0.2611946,0.4549677,0.5450323,47299.17,0.27,0.73
Central American,detailed_hisp,38,4434426,4623170,4760337,4802410,5097021,5210908,5319873,5562327,0.25435107,0.045575148,0.020910943,0.022343836,0.061346491,0.00883824,0.029669469,0.042563344,29,0.558026555,0.194181165,0.16591914,0.08187314,0.2247136,0.3079912,0.1919747,0.1310918,0.8689082,0.4758753,0.3055431,0.4028678,0.3352944,0.2639884,0.4007172,0.4104115,0.5895885,49703.75,0.325,0.675
South American,detailed_hisp,39,3049280,3071280,3148370,3260031,3320848,3403619,3460404,3721161,0.220340867,0.075354496,0.016683712,0.024924658,0.018655344,0.035466289,0.025100284,0.007214818,35,0.307869376,0.199085063,0.249888951,0.24315661,0.1377803,0.1633897,0.1636384,0.1696343,0.8303657,0.3631662,0.1862496,0.6001058,0.4912615,0.2076796,0.301059,0.3786135,0.6213865,64201.05,0.47,0.53
