geo_id,geo_display_label
5001500US0649,"Congressional District 49 (115th Congress), California"
5001500US0650,"Congressional District 50 (115th Congress), California"
5001500US0651,"Congressional District 51 (115th Congress), California"
5001500US0652,"Congressional District 52 (115th Congress), California"
5001500US0653,"Congressional District 53 (115th Congress), California"
5001500US0801,"Congressional District 1 (115th Congress), Colorado"
5001500US0802,"Congressional District 2 (115th Congress), Colorado"
5001500US0803,"Congressional District 3 (115th Congress), Colorado"
5001500US0804,"Congressional District 4 (115th Congress), Colorado"
5001500US0805,"Congressional District 5 (115th Congress), Colorado"
5001500US0806,"Congressional District 6 (115th Congress), Colorado"
5001500US0807,"Congressional District 7 (115th Congress), Colorado"
5001500US0901,"Congressional District 1 (115th Congress), Connecticut"
5001500US0902,"Congressional District 2 (115th Congress), Connecticut"
5001500US0903,"Congressional District 3 (115th Congress), Connecticut"
5001500US0904,"Congressional District 4 (115th Congress), Connecticut"
5001500US0905,"Congressional District 5 (115th Congress), Connecticut"
5001500US1000,"Congressional District (at Large) (115th Congress), Delaware"
5001500US1198,"Delegate District (at Large) (115th Congress), District of Columbia"
5001500US1201,"Congressional District 1 (115th Congress), Florida"
5001500US1202,"Congressional District 2 (115th Congress), Florida"
5001500US1203,"Congressional District 3 (115th Congress), Florida"
5001500US1204,"Congressional District 4 (115th Congress), Florida"
5001500US1205,"Congressional District 5 (115th Congress), Florida"
5001500US1206,"Congressional District 6 (115th Congress), Florida"
5001500US1207,"Congressional District 7 (115th Congress), Florida"
5001500US1208,"Congressional District 8 (115th Congress), Florida"
5001500US1209,"Congressional District 9 (115th Congress), Florida"
5001500US1210,"Congressional District 10 (115th Congress), Florida"
5001500US1211,"Congressional District 11 (115th Congress), Florida"
5001500US1212,"Congressional District 12 (115th Congress), Florida"
5001500US1213,"Congressional District 13 (115th Congress), Florida"
5001500US1214,"Congressional District 14 (115th Congress), Florida"
5001500US1215,"Congressional District 15 (115th Congress), Florida"
5001500US1216,"Congressional District 16 (115th Congress), Florida"
5001500US1217,"Congressional District 17 (115th Congress), Florida"
5001500US1218,"Congressional District 18 (115th Congress), Florida"
5001500US1219,"Congressional District 19 (115th Congress), Florida"
5001500US1220,"Congressional District 20 (115th Congress), Florida"
5001500US1221,"Congressional District 21 (115th Congress), Florida"
5001500US1222,"Congressional District 22 (115th Congress), Florida"
5001500US1223,"Congressional District 23 (115th Congress), Florida"
5001500US1224,"Congressional District 24 (115th Congress), Florida"
5001500US1225,"Congressional District 25 (115th Congress), Florida"
5001500US1226,"Congressional District 26 (115th Congress), Florida"
